,Country,Cloudiness,Humidity,Date,Latitude,Longitude,Max Temp,Wind Speed,City
0,PF,1,71,1616429119,-23.1203,-134.9692,26.57,3.23,rikitea
1,MX,1,55,1616429165,27.9769,-114.0611,15.5,4.93,guerrero negro
2,CK,75,89,1616429188,-21.2078,-159.775,26.0,2.06,avarua
3,CA,40,75,1616428677,65.282,-126.8329,-33.0,0.47,norman wells
4,US,90,100,1616429191,37.0431,-100.921,6.0,5.14,liberal
5,US,1,45,1616429192,37.1041,-113.5841,8.89,1.54,saint george
6,AU,58,86,1616429193,-33.65,115.3333,9.44,5.33,busselton
7,CN,0,23,1616429195,37.4564,118.4856,11.26,4.93,dongying
8,TO,20,83,1616429196,-21.2,-175.2,24.0,4.63,vaini
9,US,0,24,1616429095,42.6001,-73.9662,14.44,1.48,albany
10,US,90,54,1616429099,44.8342,-87.377,16.0,4.12,sturgeon bay
11,AR,40,67,1616428920,-54.8,-68.3,13.0,1.54,ushuaia
12,RU,56,75,1616429201,48.2256,46.7217,1.78,4.82,verkhniy baskunchak
13,AU,90,94,1616429203,-37.8333,140.7667,17.0,1.54,mount gambier
14,RU,5,54,1616429204,68.75,161.3,-22.57,2.37,cherskiy
15,CL,75,59,1616429205,-53.15,-70.9167,16.0,10.8,punta arenas
16,AU,76,67,1616429207,-42.7826,147.0587,15.0,0.54,new norfolk
17,CL,6,74,1616429208,-37.6167,-73.65,16.82,3.89,lebu
18,CN,75,72,1616429210,46.6406,126.9969,0.33,5.53,suihua
19,US,75,60,1616429047,29.9147,-90.054,21.11,1.54,gretna
20,BR,20,61,1616429212,-8.0089,-34.8553,29.0,5.14,olinda
21,RE,0,74,1616429213,-21.3585,55.7679,28.0,2.57,saint-philippe
22,SB,34,86,1616429215,-8.7676,160.7034,25.05,1.4,auki
23,AU,19,77,1616429216,-32.5,137.7667,19.0,2.06,port augusta
24,FI,27,87,1616429217,66.7131,27.4306,-5.66,2.2,kemijarvi
25,MG,77,84,1616429219,-21.6667,45.1667,25.2,3.68,beroroha
26,US,1,24,1616429132,42.097,-79.2353,15.56,4.77,jamestown
27,BR,27,71,1616429221,-24.7911,-50.0119,25.65,1.85,castro
28,CL,0,56,1616429174,-29.9533,-71.3436,20.0,6.69,coquimbo
29,LK,67,87,1616429149,5.9485,80.5353,25.96,2.97,matara
30,AU,100,94,1616429225,-17.0,145.4333,23.0,0.26,mareeba
31,RU,100,96,1616429226,69.4865,88.3972,-18.3,3.27,talnakh
32,EC,75,70,1616429109,-0.7393,-90.3518,30.0,6.17,puerto ayora
33,US,40,88,1616429121,19.7297,-155.09,19.0,2.06,hilo
34,EC,75,67,1616429230,0.05,-78.1333,17.0,1.03,cayambe
35,US,1,25,1616429231,41.3712,-73.414,15.0,2.57,bethel
36,US,1,64,1616429233,22.0752,-159.319,21.11,6.69,kapaa
37,GF,75,94,1616429234,4.9333,-52.3333,27.22,2.06,cayenne
38,ZA,0,64,1616429101,-33.918,25.5701,21.0,4.12,port elizabeth
39,SB,86,73,1616429237,-8.103,156.8419,28.05,1.91,gizo
40,AU,40,82,1616429238,-42.8794,147.3294,15.0,2.5,hobart
